"","Nombre","Fecha","Apertura","Minimo","Maximo","Cierre","Volumen"
"1","Bitcoin USD (BTC-USD)",2014-09-17,465.864014,452.421997,468.174011,457.334015,21056800
"2","Bitcoin USD (BTC-USD)",2014-09-18,456.859985,413.104004,456.859985,424.440002,34483200
"3","Bitcoin USD (BTC-USD)",2014-09-19,424.102997,384.532013,427.834991,394.79599,37919700
"4","Bitcoin USD (BTC-USD)",2014-09-20,394.673004,389.882996,423.29599,408.903992,36863600
"5","Bitcoin USD (BTC-USD)",2014-09-21,408.084991,393.181,412.425995,398.821014,26580100
"6","Bitcoin USD (BTC-USD)",2014-09-22,399.100006,397.130005,406.915985,402.152008,24127600
"7","Bitcoin USD (BTC-USD)",2014-09-23,402.09201,396.196991,441.557007,435.790985,45099500
"8","Bitcoin USD (BTC-USD)",2014-09-24,435.751007,421.131989,436.112,423.204987,30627700
"9","Bitcoin USD (BTC-USD)",2014-09-25,423.156006,409.467987,423.519989,411.574005,26814400
"10","Bitcoin USD (BTC-USD)",2014-09-26,411.428986,400.009003,414.937988,404.424988,21460800
"11","Bitcoin USD (BTC-USD)",2014-09-27,403.556,397.372009,406.622986,399.519989,15029300
"12","Bitcoin USD (BTC-USD)",2014-09-28,399.471008,374.332001,401.016998,377.181,23613300
"13","Bitcoin USD (BTC-USD)",2014-09-29,376.928009,372.23999,385.210999,375.46701,32497700
"14","Bitcoin USD (BTC-USD)",2014-09-30,376.088013,373.442993,390.97699,386.944,34707300
"15","Bitcoin USD (BTC-USD)",2014-10-01,387.427002,380.779999,391.378998,383.61499,26229400
"16","Bitcoin USD (BTC-USD)",2014-10-02,383.988007,372.946014,385.497009,375.071991,21777700
"17","Bitcoin USD (BTC-USD)",2014-10-03,375.181,357.859009,377.695007,359.511993,30901200
"18","Bitcoin USD (BTC-USD)",2014-10-04,359.891998,325.885986,364.487,328.865997,47236500
"19","Bitcoin USD (BTC-USD)",2014-10-05,328.915985,289.29599,341.800995,320.51001,83308096
"20","Bitcoin USD (BTC-USD)",2014-10-06,320.389008,302.559998,345.134003,330.07901,79011800
"21","Bitcoin USD (BTC-USD)",2014-10-07,330.584015,320.481995,339.247009,336.187012,49199900
"22","Bitcoin USD (BTC-USD)",2014-10-08,336.115997,327.187988,354.364014,352.940002,54736300
"23","Bitcoin USD (BTC-USD)",2014-10-09,352.747986,347.687012,382.726013,365.026001,83641104
"24","Bitcoin USD (BTC-USD)",2014-10-10,364.687012,352.963013,375.066986,361.562012,43665700
"25","Bitcoin USD (BTC-USD)",2014-10-11,361.362,355.950989,367.19101,362.299011,13345200
"26","Bitcoin USD (BTC-USD)",2014-10-12,362.605988,356.144012,379.433014,378.549011,17552800
"27","Bitcoin USD (BTC-USD)",2014-10-13,377.92099,368.897003,397.226013,390.414001,35221400
"28","Bitcoin USD (BTC-USD)",2014-10-14,391.691986,391.324005,411.697998,400.869995,38491500
"29","Bitcoin USD (BTC-USD)",2014-10-15,400.954987,388.765991,402.22699,394.77301,25267100
"30","Bitcoin USD (BTC-USD)",2014-10-16,394.518005,373.070007,398.807007,382.556,26990000
"31","Bitcoin USD (BTC-USD)",2014-10-17,382.756012,375.389008,385.477997,383.757996,13600700
"32","Bitcoin USD (BTC-USD)",2014-10-18,383.976013,378.971008,395.15799,391.441986,11416800
"33","Bitcoin USD (BTC-USD)",2014-10-19,391.253998,386.457001,393.938995,389.54599,5914570
"34","Bitcoin USD (BTC-USD)",2014-10-20,389.230988,378.252014,390.084015,382.845001,16419000
"35","Bitcoin USD (BTC-USD)",2014-10-21,382.42099,380.834015,392.645996,386.475006,14188900
"36","Bitcoin USD (BTC-USD)",2014-10-22,386.118011,382.248993,388.575989,383.15799,11641300
"37","Bitcoin USD (BTC-USD)",2014-10-23,382.962006,356.446991,385.048004,358.416992,26456900
"38","Bitcoin USD (BTC-USD)",2014-10-24,358.591003,353.304993,364.345001,358.345001,15585700
"39","Bitcoin USD (BTC-USD)",2014-10-25,358.610992,342.877014,359.860992,347.270996,18127500
"40","Bitcoin USD (BTC-USD)",2014-10-26,347.487,343.931,359.221008,354.70401,11272500
"41","Bitcoin USD (BTC-USD)",2014-10-27,354.777008,349.80899,358.631989,352.989014,13033000
"42","Bitcoin USD (BTC-USD)",2014-10-28,353.214996,352.678986,359.984009,357.618011,7845880
"43","Bitcoin USD (BTC-USD)",2014-10-29,357.088989,335.342987,357.833008,335.591003,18192700
"44","Bitcoin USD (BTC-USD)",2014-10-30,335.709015,335.071991,350.912994,345.304993,30177900
"45","Bitcoin USD (BTC-USD)",2014-10-31,345.009003,337.141998,348.045013,338.321014,12545400
"46","Bitcoin USD (BTC-USD)",2014-11-01,338.649994,321.054993,340.528992,325.748993,16677200
"47","Bitcoin USD (BTC-USD)",2014-11-02,326.075012,320.626007,329.049988,325.891998,8603620
"48","Bitcoin USD (BTC-USD)",2014-11-03,325.569,325.480988,334.002014,327.553986,12948500
"49","Bitcoin USD (BTC-USD)",2014-11-04,327.161011,325.076996,331.766998,330.492004,15655500
"50","Bitcoin USD (BTC-USD)",2014-11-05,330.683014,330.683014,343.368988,339.485992,19817200
"51","Bitcoin USD (BTC-USD)",2014-11-06,339.458008,338.424011,352.966003,349.290009,18797000
"52","Bitcoin USD (BTC-USD)",2014-11-07,349.817993,341.776001,352.731995,342.415009,16834200
"53","Bitcoin USD (BTC-USD)",2014-11-08,342.153992,342.153992,347.032013,345.488007,8535470
"54","Bitcoin USD (BTC-USD)",2014-11-09,345.376007,344.255005,363.626007,363.264008,24205600
"55","Bitcoin USD (BTC-USD)",2014-11-10,362.265015,357.561005,374.81601,366.924011,30450100
"56","Bitcoin USD (BTC-USD)",2014-11-11,365.856995,363.734985,371.309998,367.695007,15838900
"57","Bitcoin USD (BTC-USD)",2014-11-12,367.984985,367.984985,429.717987,423.561005,45783200
"58","Bitcoin USD (BTC-USD)",2014-11-13,427.27301,401.122986,457.092987,420.734985,58945000
"59","Bitcoin USD (BTC-USD)",2014-11-14,418.416992,384.789001,419.252014,397.817993,29589200
"60","Bitcoin USD (BTC-USD)",2014-11-15,399.649994,371.007996,405.528015,376.132996,15727500
"61","Bitcoin USD (BTC-USD)",2014-11-16,374.730011,374.60199,390.799011,387.881989,11905600
"62","Bitcoin USD (BTC-USD)",2014-11-17,388.348999,377.502014,410.199005,387.40799,41518800
"63","Bitcoin USD (BTC-USD)",2014-11-18,387.785004,371.117004,392.402008,375.197998,32222500
"64","Bitcoin USD (BTC-USD)",2014-11-19,373.895996,373.895996,386.480988,380.554993,18931800
"65","Bitcoin USD (BTC-USD)",2014-11-20,380.307007,356.781006,382.024994,357.839996,25233200
"66","Bitcoin USD (BTC-USD)",2014-11-21,357.878998,344.112,357.878998,350.847992,29850100
"67","Bitcoin USD (BTC-USD)",2014-11-22,351.604004,350.877991,364.841003,352.920013,15273000
"68","Bitcoin USD (BTC-USD)",2014-11-23,353.174988,353.174988,370.845001,367.572998,15151600
"69","Bitcoin USD (BTC-USD)",2014-11-24,366.947998,366.669006,387.209015,376.901001,30930100
"70","Bitcoin USD (BTC-USD)",2014-11-25,376.885986,374.783997,394.700989,375.347992,25442200
"71","Bitcoin USD (BTC-USD)",2014-11-26,376.019012,365.81601,377.697998,368.369995,18601700
"72","Bitcoin USD (BTC-USD)",2014-11-27,370.502014,368.282013,373.992004,369.670013,8748030
"73","Bitcoin USD (BTC-USD)",2014-11-28,369.373993,358.454987,382.838013,376.446991,22946500
"74","Bitcoin USD (BTC-USD)",2014-11-29,376.152008,372.144989,387.601013,375.490997,15375600
"75","Bitcoin USD (BTC-USD)",2014-11-30,375.51001,373.30899,382.527008,378.046997,9194440
"76","Bitcoin USD (BTC-USD)",2014-12-01,378.248993,376.669006,383.661987,379.244995,11763000
"77","Bitcoin USD (BTC-USD)",2014-12-02,379.25,377.863007,384.037994,381.315002,12364100
"78","Bitcoin USD (BTC-USD)",2014-12-03,381.721985,374.346008,383.026001,375.01001,13340100
"79","Bitcoin USD (BTC-USD)",2014-12-04,375.717987,367.759003,378.654999,369.604004,14529600
"80","Bitcoin USD (BTC-USD)",2014-12-05,369.441986,365.756012,379.191986,376.854004,15181800
"81","Bitcoin USD (BTC-USD)",2014-12-06,376.756989,370.945007,378.447998,374.785004,7009320
"82","Bitcoin USD (BTC-USD)",2014-12-07,374.835999,373.274994,376.291992,375.095001,6491650
"83","Bitcoin USD (BTC-USD)",2014-12-08,374.964996,361.885986,376.028992,361.908997,18898700
"84","Bitcoin USD (BTC-USD)",2014-12-09,361.894989,344.950989,363.066986,352.218994,32915500
"85","Bitcoin USD (BTC-USD)",2014-12-10,352.204987,346.36499,352.384003,346.36499,16427700
