"","Nombre","Fecha","Apertura","Minimo","Maximo","Cierre","Volumen"
"1","Meta Platforms, Inc.  (FB)",2012-05-18,42.049999,38,45,38.23,573576400
"2","Meta Platforms, Inc.  (FB)",2012-05-21,36.529999,33,36.66,34.029999,168192700
"3","Meta Platforms, Inc.  (FB)",2012-05-22,32.610001,30.940001,33.59,31,101786600
"4","Meta Platforms, Inc.  (FB)",2012-05-23,31.370001,31.360001,32.5,32,73600000
"5","Meta Platforms, Inc.  (FB)",2012-05-24,32.950001,31.77,33.209999,33.029999,50237200
"6","Meta Platforms, Inc.  (FB)",2012-05-25,32.900002,31.110001,32.950001,31.91,37149800
"7","Meta Platforms, Inc.  (FB)",2012-05-29,31.48,28.65,31.690001,28.84,78063400
"8","Meta Platforms, Inc.  (FB)",2012-05-30,28.700001,27.860001,29.549999,28.190001,57267900
"9","Meta Platforms, Inc.  (FB)",2012-05-31,28.549999,26.83,29.67,29.6,111639200
"10","Meta Platforms, Inc.  (FB)",2012-06-01,28.889999,27.389999,29.15,27.719999,41855500
"11","Meta Platforms, Inc.  (FB)",2012-06-04,27.200001,26.440001,27.65,26.9,35230300
"12","Meta Platforms, Inc.  (FB)",2012-06-05,26.700001,25.75,27.76,25.870001,42473400
"13","Meta Platforms, Inc.  (FB)",2012-06-06,26.07,25.52,27.17,26.809999,61489200
"14","Meta Platforms, Inc.  (FB)",2012-06-07,27,26.15,27.35,26.309999,26159500
"15","Meta Platforms, Inc.  (FB)",2012-06-08,26.549999,26.440001,27.76,27.1,38034000
"16","Meta Platforms, Inc.  (FB)",2012-06-11,27.18,26.84,28.07,27.01,28219600
"17","Meta Platforms, Inc.  (FB)",2012-06-12,27.48,26.959999,27.77,27.4,15816800
"18","Meta Platforms, Inc.  (FB)",2012-06-13,27.66,27.1,28.1,27.27,17102800
"19","Meta Platforms, Inc.  (FB)",2012-06-14,27.65,27.379999,28.32,28.290001,16855000
"20","Meta Platforms, Inc.  (FB)",2012-06-15,28.51,28.35,30.1,30.01,43563800
"21","Meta Platforms, Inc.  (FB)",2012-06-18,29.959999,29.41,32.080002,31.41,42978900
"22","Meta Platforms, Inc.  (FB)",2012-06-19,31.540001,30.700001,32.18,31.91,30849000
"23","Meta Platforms, Inc.  (FB)",2012-06-20,31.92,31.15,31.93,31.6,15553600
"24","Meta Platforms, Inc.  (FB)",2012-06-21,31.67,31.51,32.5,31.84,21875300
"25","Meta Platforms, Inc.  (FB)",2012-06-22,32.41,32.060001,33.450001,33.049999,74834000
"26","Meta Platforms, Inc.  (FB)",2012-06-25,32.860001,31.549999,33.02,32.060001,24352900
"27","Meta Platforms, Inc.  (FB)",2012-06-26,32.689999,32.5,33.439999,33.099998,24858700
"28","Meta Platforms, Inc.  (FB)",2012-06-27,32.459999,31.9,32.900002,32.23,28568000
"29","Meta Platforms, Inc.  (FB)",2012-06-28,31.959999,30.9,32.189999,31.360001,17713300
"30","Meta Platforms, Inc.  (FB)",2012-06-29,31.92,30.76,31.99,31.1,19526900
"31","Meta Platforms, Inc.  (FB)",2012-07-02,31.25,30.549999,31.73,30.77,14122000
"32","Meta Platforms, Inc.  (FB)",2012-07-03,30.91,30.799999,31.440001,31.200001,8763600
"33","Meta Platforms, Inc.  (FB)",2012-07-05,31.32,31.02,31.629999,31.469999,10032100
"34","Meta Platforms, Inc.  (FB)",2012-07-06,31.440001,31.26,31.9,31.73,10945600
"35","Meta Platforms, Inc.  (FB)",2012-07-09,32.099998,31.99,32.880001,32.169998,17785200
"36","Meta Platforms, Inc.  (FB)",2012-07-10,32.43,31.16,32.48,31.469999,14269500
"37","Meta Platforms, Inc.  (FB)",2012-07-11,31.48,30.549999,31.559999,30.969999,13030300
"38","Meta Platforms, Inc.  (FB)",2012-07-12,30.700001,30.6,31.4,30.809999,11300700
"39","Meta Platforms, Inc.  (FB)",2012-07-13,31.040001,30.559999,31.07,30.719999,8108300
"40","Meta Platforms, Inc.  (FB)",2012-07-16,30.5,28.209999,30.5,28.25,24672100
"41","Meta Platforms, Inc.  (FB)",2012-07-17,28.48,27.15,28.59,28.09,30438600
"42","Meta Platforms, Inc.  (FB)",2012-07-18,28.309999,28.15,29.290001,29.110001,16841800
"43","Meta Platforms, Inc.  (FB)",2012-07-19,29.41,28.629999,29.5,29,13685100
"44","Meta Platforms, Inc.  (FB)",2012-07-20,29,28.719999,29.469999,28.76,11869100
"45","Meta Platforms, Inc.  (FB)",2012-07-23,28.120001,28.01,29,28.75,12390700
"46","Meta Platforms, Inc.  (FB)",2012-07-24,28.82,28.1,29.450001,28.450001,11539800
"47","Meta Platforms, Inc.  (FB)",2012-07-25,28.389999,28.08,29.49,29.34,17230200
"48","Meta Platforms, Inc.  (FB)",2012-07-26,27.75,26.73,28.23,26.85,64597400
"49","Meta Platforms, Inc.  (FB)",2012-07-27,23.190001,22.280001,24.540001,23.709999,123102300
"50","Meta Platforms, Inc.  (FB)",2012-07-30,24,23.030001,24.040001,23.15,29285900
"51","Meta Platforms, Inc.  (FB)",2012-07-31,23.370001,21.610001,23.370001,21.709999,56179400
"52","Meta Platforms, Inc.  (FB)",2012-08-01,21.5,20.84,21.58,20.879999,44604400
"53","Meta Platforms, Inc.  (FB)",2012-08-02,20.77,19.82,20.84,20.040001,56374500
"54","Meta Platforms, Inc.  (FB)",2012-08-03,20.360001,19.9,22.16,21.09,80647000
"55","Meta Platforms, Inc.  (FB)",2012-08-06,21.389999,21.299999,22.15,21.92,27778900
"56","Meta Platforms, Inc.  (FB)",2012-08-07,22.200001,20.5,22.450001,20.719999,36782900
"57","Meta Platforms, Inc.  (FB)",2012-08-08,20.709999,20.219999,21.15,20.719999,29537400
"58","Meta Platforms, Inc.  (FB)",2012-08-09,20.75,20.610001,21.17,21.01,15610700
"59","Meta Platforms, Inc.  (FB)",2012-08-10,21.41,21.129999,21.82,21.809999,25794700
"60","Meta Platforms, Inc.  (FB)",2012-08-13,22.15,21.4,22.450001,21.6,24973100
"61","Meta Platforms, Inc.  (FB)",2012-08-14,21.41,20.25,21.6,20.379999,39308800
"62","Meta Platforms, Inc.  (FB)",2012-08-15,20.639999,20.4,21.41,21.200001,47861100
"63","Meta Platforms, Inc.  (FB)",2012-08-16,20.440001,19.690001,20.48,19.870001,157565300
"64","Meta Platforms, Inc.  (FB)",2012-08-17,20.01,19,20.08,19.049999,129293400
"65","Meta Platforms, Inc.  (FB)",2012-08-20,19.049999,18.75,20.129999,20.01,101186600
"66","Meta Platforms, Inc.  (FB)",2012-08-21,19.58,19.09,19.98,19.16,70640600
"67","Meta Platforms, Inc.  (FB)",2012-08-22,19.360001,18.959999,19.530001,19.440001,49892200
"68","Meta Platforms, Inc.  (FB)",2012-08-23,19.5,19.360001,19.73,19.440001,32813700
"69","Meta Platforms, Inc.  (FB)",2012-08-24,19.52,19.25,19.68,19.41,29622200
"70","Meta Platforms, Inc.  (FB)",2012-08-27,19.49,19.1,19.530001,19.15,20704000
"71","Meta Platforms, Inc.  (FB)",2012-08-28,19.1,18.950001,19.379999,19.34,25417000
"72","Meta Platforms, Inc.  (FB)",2012-08-29,19.32,19.07,19.379999,19.1,16124700
"73","Meta Platforms, Inc.  (FB)",2012-08-30,19.27,19.059999,19.450001,19.09,30647500
"74","Meta Platforms, Inc.  (FB)",2012-08-31,18.68,18.030001,18.700001,18.059999,58764200
"75","Meta Platforms, Inc.  (FB)",2012-09-04,18.08,17.549999,18.27,17.73,46622400
"76","Meta Platforms, Inc.  (FB)",2012-09-05,18.27,18.18,18.75,18.58,60781800
"77","Meta Platforms, Inc.  (FB)",2012-09-06,18.74,18.719999,19.26,18.959999,46066500
"78","Meta Platforms, Inc.  (FB)",2012-09-07,19.1,18.780001,19.42,18.98,36371700
"79","Meta Platforms, Inc.  (FB)",2012-09-10,19.059999,18.549999,19.200001,18.809999,24797800
"80","Meta Platforms, Inc.  (FB)",2012-09-11,18.92,18.85,19.58,19.43,50508200
"81","Meta Platforms, Inc.  (FB)",2012-09-12,20.76,20.280001,21.16,20.93,121584000
"82","Meta Platforms, Inc.  (FB)",2012-09-13,20.959999,20.610001,21.48,20.709999,65041600
"83","Meta Platforms, Inc.  (FB)",2012-09-14,21.129999,20.9,22.08,22,72819800
"84","Meta Platforms, Inc.  (FB)",2012-09-17,22.67,21.5,22.75,21.52,50667600
"85","Meta Platforms, Inc.  (FB)",2012-09-18,21.6,21.370001,21.98,21.870001,36760500
"86","Meta Platforms, Inc.  (FB)",2012-09-19,21.99,21.77,23.370001,23.290001,78782800
"87","Meta Platforms, Inc.  (FB)",2012-09-20,23.02,22.540001,23.24,22.59,57248900
"88","Meta Platforms, Inc.  (FB)",2012-09-21,22.969999,22.6,23.24,22.860001,51218100
"89","Meta Platforms, Inc.  (FB)",2012-09-24,21.780001,20.360001,21.98,20.790001,79106500
"90","Meta Platforms, Inc.  (FB)",2012-09-25,21.200001,20.219999,21.209999,20.280001,46291700
"91","Meta Platforms, Inc.  (FB)",2012-09-26,20.15,19.799999,20.780001,20.620001,38271900
"92","Meta Platforms, Inc.  (FB)",2012-09-27,20.99,20.16,21,20.32,30215900
"93","Meta Platforms, Inc.  (FB)",2012-09-28,20.57,20.5,21.950001,21.66,65486000
"94","Meta Platforms, Inc.  (FB)",2012-10-01,22.08,21.73,22.59,21.99,51262700
"95","Meta Platforms, Inc.  (FB)",2012-10-02,22.08,21.82,22.49,22.27,29341400
"96","Meta Platforms, Inc.  (FB)",2012-10-03,22.299999,21.799999,22.49,21.83,32000100
"97","Meta Platforms, Inc.  (FB)",2012-10-04,22.32,21.41,22.4,21.950001,46892100
"98","Meta Platforms, Inc.  (FB)",2012-10-05,21.49,20.879999,21.629999,20.91,40529300
"99","Meta Platforms, Inc.  (FB)",2012-10-08,20.4,20.16,20.75,20.4,32236700
"100","Meta Platforms, Inc.  (FB)",2012-10-09,20.389999,19.969999,20.549999,20.23,27161800
"101","Meta Platforms, Inc.  (FB)",2012-10-10,19.93,19.450001,19.940001,19.639999,39321800
"102","Meta Platforms, Inc.  (FB)",2012-10-11,19.879999,19.610001,19.959999,19.75,21817300
"103","Meta Platforms, Inc.  (FB)",2012-10-12,19.75,19.48,19.799999,19.52,18809400
"104","Meta Platforms, Inc.  (FB)",2012-10-15,19.68,19.49,19.879999,19.52,20189700
"105","Meta Platforms, Inc.  (FB)",2012-10-16,19.68,19.299999,19.690001,19.48,21834700
"106","Meta Platforms, Inc.  (FB)",2012-10-17,19.5,19.370001,20.48,19.879999,44074500
"107","Meta Platforms, Inc.  (FB)",2012-10-18,19.700001,18.889999,19.790001,18.98,52157400
"108","Meta Platforms, Inc.  (FB)",2012-10-19,19,18.799999,19.059999,19,34835000
"109","Meta Platforms, Inc.  (FB)",2012-10-22,19.200001,19.049999,19.43,19.32,32447300
"110","Meta Platforms, Inc.  (FB)",2012-10-23,19.25,19.1,19.799999,19.5,78381200
"111","Meta Platforms, Inc.  (FB)",2012-10-24,24.129999,22.85,24.25,23.23,228949900
"112","Meta Platforms, Inc.  (FB)",2012-10-25,23.290001,22.469999,23.309999,22.559999,76142000
"113","Meta Platforms, Inc.  (FB)",2012-10-26,22.4,21.879999,22.879999,21.940001,73175800
"114","Meta Platforms, Inc.  (FB)",2012-10-31,20.82,20.73,21.5,21.110001,99378200
"115","Meta Platforms, Inc.  (FB)",2012-11-01,21.08,21.01,21.440001,21.209999,37713900
"116","Meta Platforms, Inc.  (FB)",2012-11-02,21.26,21.07,21.690001,21.18,38344400
"117","Meta Platforms, Inc.  (FB)",2012-11-05,21.1,20.92,21.48,21.25,31806700
"118","Meta Platforms, Inc.  (FB)",2012-11-06,21.24,20.99,21.370001,21.17,29062700
"119","Meta Platforms, Inc.  (FB)",2012-11-07,20.85,20.370001,20.950001,20.469999,33396800
"120","Meta Platforms, Inc.  (FB)",2012-11-08,20.52,19.98,20.73,19.99,34254600
"121","Meta Platforms, Inc.  (FB)",2012-11-09,19.959999,19.129999,20,19.209999,42295500
"122","Meta Platforms, Inc.  (FB)",2012-11-12,19.15,18.870001,20.17,20.07,67349200
"123","Meta Platforms, Inc.  (FB)",2012-11-13,19.610001,19.559999,20.110001,19.860001,71775100
"124","Meta Platforms, Inc.  (FB)",2012-11-14,20.1,19.93,22.5,22.360001,229751000
"125","Meta Platforms, Inc.  (FB)",2012-11-15,22.34,21.65,22.5,22.17,78857700
"126","Meta Platforms, Inc.  (FB)",2012-11-16,22.25,22.18,23.93,23.559999,107182200
"127","Meta Platforms, Inc.  (FB)",2012-11-19,23.959999,22.82,24.120001,22.92,85021300
"128","Meta Platforms, Inc.  (FB)",2012-11-20,22.73,22.700001,23.9,23.1,46655300
"129","Meta Platforms, Inc.  (FB)",2012-11-21,23.219999,23.049999,24.530001,24.32,89862400
"130","Meta Platforms, Inc.  (FB)",2012-11-23,24.58,23.879999,24.68,24,29520900
"131","Meta Platforms, Inc.  (FB)",2012-11-26,24.940001,24.809999,26.09,25.940001,123865000
"132","Meta Platforms, Inc.  (FB)",2012-11-27,26.040001,25.459999,26.5,26.15,85760600
