"","Nombre","Fecha","Apertura","Minimo","Maximo","Cierre","Volumen"
"1","Microsoft Corporation (MSFT)",1986-03-13,0.088542,0.088542,0.101563,0.097222,1031788800
"2","Microsoft Corporation (MSFT)",1986-03-14,0.097222,0.097222,0.102431,0.100694,308160000
"3","Microsoft Corporation (MSFT)",1986-03-17,0.100694,0.100694,0.103299,0.102431,133171200
"4","Microsoft Corporation (MSFT)",1986-03-18,0.102431,0.098958,0.103299,0.099826,67766400
"5","Microsoft Corporation (MSFT)",1986-03-19,0.099826,0.097222,0.100694,0.09809,47894400
"6","Microsoft Corporation (MSFT)",1986-03-20,0.09809,0.094618,0.09809,0.095486,58435200
"7","Microsoft Corporation (MSFT)",1986-03-21,0.095486,0.091146,0.097222,0.092882,59990400
"8","Microsoft Corporation (MSFT)",1986-03-24,0.092882,0.08941,0.092882,0.090278,65289600
"9","Microsoft Corporation (MSFT)",1986-03-25,0.090278,0.08941,0.092014,0.092014,32083200
"10","Microsoft Corporation (MSFT)",1986-03-26,0.092014,0.091146,0.095486,0.094618,22752000
"11","Microsoft Corporation (MSFT)",1986-03-27,0.094618,0.094618,0.096354,0.096354,16848000
"12","Microsoft Corporation (MSFT)",1986-03-31,0.096354,0.09375,0.096354,0.095486,12873600
"13","Microsoft Corporation (MSFT)",1986-04-01,0.095486,0.094618,0.095486,0.094618,11088000
"14","Microsoft Corporation (MSFT)",1986-04-02,0.094618,0.094618,0.097222,0.095486,27014400
"15","Microsoft Corporation (MSFT)",1986-04-03,0.096354,0.096354,0.098958,0.096354,23040000
"16","Microsoft Corporation (MSFT)",1986-04-04,0.096354,0.096354,0.097222,0.096354,26582400
"17","Microsoft Corporation (MSFT)",1986-04-07,0.096354,0.092882,0.097222,0.094618,16560000
"18","Microsoft Corporation (MSFT)",1986-04-08,0.094618,0.094618,0.097222,0.095486,10252800
"19","Microsoft Corporation (MSFT)",1986-04-09,0.095486,0.095486,0.09809,0.097222,12153600
"20","Microsoft Corporation (MSFT)",1986-04-10,0.097222,0.095486,0.098958,0.09809,13881600
"21","Microsoft Corporation (MSFT)",1986-04-11,0.098958,0.098958,0.101563,0.099826,17222400
"22","Microsoft Corporation (MSFT)",1986-04-14,0.099826,0.099826,0.101563,0.100694,12153600
"23","Microsoft Corporation (MSFT)",1986-04-15,0.100694,0.097222,0.100694,0.100694,9302400
"24","Microsoft Corporation (MSFT)",1986-04-16,0.100694,0.099826,0.105035,0.104167,31910400
"25","Microsoft Corporation (MSFT)",1986-04-17,0.104167,0.104167,0.105035,0.105035,22003200
"26","Microsoft Corporation (MSFT)",1986-04-18,0.105035,0.100694,0.105035,0.101563,21628800
"27","Microsoft Corporation (MSFT)",1986-04-21,0.101563,0.098958,0.102431,0.101563,22924800
"28","Microsoft Corporation (MSFT)",1986-04-22,0.101563,0.099826,0.101563,0.099826,15552000
"29","Microsoft Corporation (MSFT)",1986-04-23,0.099826,0.098958,0.100694,0.10026,15609600
"30","Microsoft Corporation (MSFT)",1986-04-24,0.10026,0.099826,0.111979,0.110243,62352000
"31","Microsoft Corporation (MSFT)",1986-04-25,0.111111,0.111111,0.121962,0.117188,85795200
"32","Microsoft Corporation (MSFT)",1986-04-28,0.117188,0.116319,0.118924,0.118056,28886400
"33","Microsoft Corporation (MSFT)",1986-04-29,0.118056,0.113715,0.118056,0.114583,30326400
"34","Microsoft Corporation (MSFT)",1986-04-30,0.114583,0.109375,0.115451,0.111979,30902400
"35","Microsoft Corporation (MSFT)",1986-05-01,0.111979,0.108507,0.111979,0.110243,54345600
"36","Microsoft Corporation (MSFT)",1986-05-02,0.110243,0.109375,0.111979,0.110243,20246400
"37","Microsoft Corporation (MSFT)",1986-05-05,0.110243,0.109375,0.110243,0.109375,3254400
"38","Microsoft Corporation (MSFT)",1986-05-06,0.110243,0.110243,0.111979,0.110243,9734400
"39","Microsoft Corporation (MSFT)",1986-05-07,0.110243,0.108507,0.111111,0.110243,5155200
"40","Microsoft Corporation (MSFT)",1986-05-08,0.110243,0.109375,0.111111,0.111111,3542400
"41","Microsoft Corporation (MSFT)",1986-05-09,0.111111,0.110243,0.111111,0.110243,6076800
"42","Microsoft Corporation (MSFT)",1986-05-12,0.110243,0.110243,0.113715,0.111111,10483200
"43","Microsoft Corporation (MSFT)",1986-05-13,0.111111,0.111111,0.112847,0.111979,3830400
"44","Microsoft Corporation (MSFT)",1986-05-14,0.111979,0.111111,0.111979,0.111111,9302400
"45","Microsoft Corporation (MSFT)",1986-05-15,0.111111,0.111111,0.112847,0.111111,3801600
"46","Microsoft Corporation (MSFT)",1986-05-16,0.111111,0.111111,0.114583,0.111979,11952000
"47","Microsoft Corporation (MSFT)",1986-05-19,0.111979,0.109375,0.111979,0.110243,11001600
"48","Microsoft Corporation (MSFT)",1986-05-20,0.110243,0.108507,0.110243,0.109375,61977600
"49","Microsoft Corporation (MSFT)",1986-05-21,0.109375,0.107639,0.110243,0.107639,8092800
"50","Microsoft Corporation (MSFT)",1986-05-22,0.107639,0.107639,0.108507,0.107639,4406400
"51","Microsoft Corporation (MSFT)",1986-05-23,0.107639,0.107639,0.109375,0.107639,4089600
"52","Microsoft Corporation (MSFT)",1986-05-27,0.107639,0.107639,0.111111,0.111111,13881600
"53","Microsoft Corporation (MSFT)",1986-05-28,0.111111,0.111111,0.114583,0.114583,15523200
"54","Microsoft Corporation (MSFT)",1986-05-29,0.114583,0.113715,0.118924,0.117188,45676800
"55","Microsoft Corporation (MSFT)",1986-05-30,0.118056,0.118056,0.123264,0.121528,27072000
"56","Microsoft Corporation (MSFT)",1986-06-02,0.121528,0.118056,0.121528,0.118056,19728000
"57","Microsoft Corporation (MSFT)",1986-06-03,0.118056,0.116319,0.118056,0.118056,5011200
"58","Microsoft Corporation (MSFT)",1986-06-04,0.118056,0.116319,0.118924,0.117188,4723200
"59","Microsoft Corporation (MSFT)",1986-06-05,0.117188,0.116319,0.118924,0.118924,13708800
